title,description,rating,travel_date,review_date
So glad I'm back with PayStream,"Everyone i have spoken to at PayStream so far and its been a few have such enthusiasm, willingness to answer questions and helpful throughout the conversations. I used to be with PayStream when I had a Ltd company and was convinced to move elsewhere once I needed an Umbrella. What a mistake. I am so happy to be back working with PayStream again.",5,Date of experience: 08 October 2024,2 days ago
Just brilliant!,"My accountants are very knowledgeable and available to answer any questions. The experience has been seamless over the last 4 years, with absolutely no mistakes or stress related to my company's filings or  submissions. The benefit of having a portal that provides full visibility of my company's income and expenses is brilliant. I would not have second thoughts about staying with Paystream. Thank you!",5,Date of experience: 08 October 2024,A day ago
Shout out to Peter,Shout out to Peter! Peter from PayStream gave me an informative call to explain the PayStream processes. The customer care quality was high as I had several follow up questions and the responses were immediate and useful. I've spoken to several contacts at PayStream and they've been helpful with clarifications.,5,Date of experience: 09 October 2024,A day ago
Very courteous and supportive partner.,I’ve just signed up with Paystream. From my initial experience I can say they’ve been extremely helpful and guided me through everything as a first time umbrella worker. They answered all my questions clearly and made me feel I have a supportive partner.,5,Date of experience: 08 October 2024,2 days ago
Paystream always provide me with the first rate service,"Paystream always provide me with the support I need, whether payment, the complicated world of tax, pension and are there for me when I need them. They deliver a personable and friendly service that makes me feel I am cared for and my interests and needs being listened too and met.",5,Date of experience: 08 October 2024,2 days ago
Great service,PayStream was the umbrella company I used as a contractor and provided a great service. They always replied promptly to any quires and paid on time. I would highly recommend PaySteam and will consider using them again in the future.,5,Date of experience: 24 July 2024,2 days ago
Mohammad was really friendly and super…,Mohammad was really friendly and super helpful. He answered all my questions with lots of detail and made sure there wasn’t any information that I was missing. Thank you!,5,Date of experience: 08 October 2024,2 days ago
Fast and efficient,Fast and efficient. Paystream have operational processes in place to make it easy to contract. Their team are always helpful and fast. A very efficient organisation.,5,Date of experience: 09 October 2024,18 hours ago
"Efficient, Reliable, and Hassle-Free Service","I’ve had a great experience with this company. Everything has been straightforward—from the initial setup to the timely payments throughout my contract. Whenever I had a query, it was dealt with promptly and effectively. When my contract ended, the requested P45 was provided even sooner than expected. Highly recommended for their professionalism and efficiency!",5,Date of experience: 02 October 2024,6 days ago
Would highly recommend!,"Professional, friendly service which I always found really helpful and easy to use.The set up was easy and I was always paid on time. Would recommend!",5,Date of experience: 08 October 2024,2 days ago
Mohammed was very concise and helpful…,Mohammed was very concise and helpful in order to assist me in joining the Paystream service seamlessly. Highly recommend.,5,Date of experience: 09 October 2024,A day ago
Review of Paystream Representative Call,"I had a fantastic experience during my recent call with a Paystream representative. The entire conversation was smooth, and the representative was incredibly helpful and knowledgeable. They took the time to thoroughly address all my questions and provided clear, actionable solutions to the issues I was facing.What stood out the most was their professionalism and willingness to go above and beyond to ensure I had a great experience. I left the call feeling confident about the next steps and highly impressed with the level of customer service provided.Overall, an outstanding interaction that exceeded my expectations!",5,Date of experience: 08 October 2024,2 days ago
Paystream have always gone above and…,Paystream have always gone above and beyond with their services and putting up with all my questions. Any queries I've raised theyve immediately turned this around. Many thanks to Jordan Green for his recent help and would highly recommend for Umbrella services.,5,Date of experience: 30 September 2024,30 Sept 2024
The Paystream team has been consistent…,The Paystream team has been consistent reliable assuring always. I commend all the Finance ladies in particular Lauren Borthwick who demonstrated the humanitarian caring approach. Such is the innate fabric across all human beings. Lauren touched me and made my day I have to thank her laud her care as exemplary and more meaningful. Her approach should be shared with wider team and the Chairman should be aware of such unique precious individuals who I trust will be taken care of and encouraged to lead the organisation. Thank you PayStream Thank you Lauren.,5,Date of experience: 30 September 2024,30 Sept 2024
My payments are ALWAYS delayed,"My payments are ALWAYS delayed. If I did not notice they won't even have paid me. I have called and chased every day and they keep telling me that they will update me for around 10 days now and still haven't gotten paid. I call and ask for updates and they keep saying the same thing. I have instructed them to act for me, and they never tell me when there are errors or amendments needed but wait until my agency flags it and even then they don’t notify me unless I reach out.",1,Date of experience: 07 October 2024,Updated 3 days ago
Fantastic service,Fantastic service. Super impressed with knowledge and advice. Very proactive. Platform also works very well in providing guidance and a clear financial view.,5,Date of experience: 03 October 2024,4 days ago
Superb Customer Experience,Its my first engagement with an umbrella agency and so far its been a wonderful experience. I got clarity of my pay before I even joined and for me the most amazing thing is the excellent customer service that they provide. Every one I talk to at Pay stream always listens and goes the extra mile to help resolve any issues I have no matter how small. I wish I could give 10 Stars. Keep it up folks. Cheers,5,Date of experience: 30 September 2024,1 Oct 2024
Emily gave me a detailed explanations…,Emily gave me a detailed explanations and guidelines on how everything works.,5,Date of experience: 09 October 2024,A day ago
Well Done,Very helpful and got everything sorted even given the short time they had to complete - Well Done 👍,5,Date of experience: 04 October 2024,2 days ago
Really good advisor,Really good advisor. Efficient and dealt with my requests in a very timely manner,5,Date of experience: 09 October 2024,A day ago
Not paid,"I'd been with the company for a few months and it had mostly been fine, except for my last paycheck with a company, where the payroll team just didn't process my invoice.When I first called, I was told the money would be paid out on Friday. When I called later on that day, I was told that I actually wouldn't be paid until Monday.Monday arrives and, according to the customer care team, payroll simply haven't looked at my query and I'm still not paid, with seemingly no urgency to resolve the matter and pay me. I'm unsure as to why I have to call a payments company multiple times in order to be paid and with no solutions being offered, as if I'm supposed to just live without money.",1,Date of experience: 07 October 2024,3 days ago
Ploy was Brilliant,"So, I recently had to call Paystream about an expense claim that I needed assistance with.I spoke to Ploy who was brilliant and sorted out my query in no time. Ploy knows her stuff, she quickly and efficiently answered my question and resolved my problem. Ploy is also super helpful and friendly asand was a pleasure to deal with.",5,Date of experience: 19 September 2024,30 Sept 2024
Good overall Umbrella service.,Good overall Umbrella service that promoted trust by adhering to target dates when making weekly payments. Also all the illustration at the front end were honoured. The whole experience was very good overall and this was my first experience in using an Umbrella company to manage payroll.,5,Date of experience: 30 September 2024,1 Oct 2024
