title,description,rating,travel_date,review_date
It's all in the smile.,"This is the second time I have spoken to Preeya and she is lovely. She listens attentively and makes me feel like my call is important. Most importantly, you always hear her smile, and I leave the conversation thinking that she is driven by customer satisfaction. I really like that. Thank you for being down to earth and approachable.",5,Date of experience: 09 October 2024,14 hours ago
Excellent customer service,"Excellent customer service. Had to speak to someone to discuss my pay and spoke to Preeya who I couldn’t fault. Very clear, informative and easy to communicate with. Sorted out my query. Was also very impressed that I managed to speak to someone very quickly.",5,Date of experience: 07 October 2024,3 days ago
I found representative to be extremely…,I found representative to be extremely helpful and friendly.  She was able to answer all my questions and give me support.,5,Date of experience: 09 October 2024,A day ago
Good experience,Very helpful and polite and explained everything in great detail so I could understand everything fully.,5,Date of experience: 09 October 2024,18 hours ago
Muneet is really cool,"Muneet is really cool, she took her time to patiently break down whatever I needed clarification for. I had tons of questions. She literally calmly explained all and was super nice to me. Thank you Muneet :-)",5,Date of experience: 04 October 2024,6 days ago
The amazing Barney,"Barney was so so helpful, nice and friendly.  He was very knowledgeable and patient.  He listened to my request & did everything he said he would to help.  Thanks Barney, I am ever so grateful for your time, support & help.",5,Date of experience: 08 October 2024,2 days ago
Great and professional communication,The lady who answered the phone was great in communicating and and solves my issue within a minute. Thank you for the great and high quality service!,5,Date of experience: 07 October 2024,3 days ago
As well as being hardworking,"As well as being hardworking, approachable and good with children, I have a number of qualities which I could bring to the Teaching Assistant role. I am an extremely patient person and I am willing to spend as much time working on one subject, word or calculation as a child needs",5,Date of experience: 05 October 2024,5 days ago
Really disappointed I asked to send my…,Really disappointed I asked to send my P45 on the 27th of September and still after 2 week(  today it is 10th of October) they haven't sent the document yet.Nathashaa she haven't done a good job after all.,1,Date of experience: 27 September 2024,Updated 2 hours ago
Great Customer Service,"I can’t complain, I feel Workwell Solutions are a great umbrella company to be with, most importantly everything is done legitimately. I had a query which was resolved by a polite lady called Monique Vaugn who was very helpful. I’d recommend Workwell Solutions for others.",5,Date of experience: 27 September 2024,27 Sept 2024
Great customer service,"Great customer service , very informative and clear with the process and easy access and steps for signing up.",5,Date of experience: 08 October 2024,2 days ago
Great association,What stands out during my experience with Workwell is the promptness with which the relevant steps are advised and actioned alongside providing concise information and the repeated offer to assist or ask any further questions.,5,Date of experience: 09 October 2024,14 hours ago
I had a very pleasant conversation with…,"I had a very pleasant conversation with Amal with regards to my outstanding holiday pay contributions I thought if I failed to claim it it before the end of September I will forfeit it but she reassured me that that’s not the case, there is a grace period and I wouldn’t have forfeited it, she was very friendly and helpful",5,Date of experience: 30 September 2024,1 Oct 2024
Professional & Pleasant,"Nataasha C helped me today and was very helpful, professional, polite, knowledgeable.  It was a 5 star call followed up with a confirmation email.Thank you so much Nataasha C for your help today.",5,Date of experience: 26 September 2024,26 Sept 2024
Excellent service.,"Barney responded to my query, tried calling and sent information. Then Natasha answered all my numerous questions most helpfully and provided me with everything I needed. An impressive service.",5,Date of experience: 23 September 2024,23 Sept 2024
Pria explained the query really well…,Pria explained the query really well and also referring me  who to speak to further. with details of telephone numbers and right dept to contact.,5,Date of experience: 27 September 2024,27 Sept 2024
Very pleasant lady thank you for being…,Very pleasant lady thank you for being so helpful.,5,Date of experience: 07 October 2024,3 days ago
Company done greet job so far.,"Company done greet job so far, I’m very happy to be part of it.",5,Date of experience: 10 October 2024,2 hours ago
The experience was great because they…,The experience was great because they were patient and extremely kind and helpful,5,Date of experience: 07 October 2024,3 days ago
Really helpful,Really helpful. Taking their time to explain things. No information is hidden.,5,Date of experience: 03 October 2024,7 days ago
Very disappointed,"I was very disappointed with the customer service that I received by Preeya, she couldn’t listen to me all she wanted was her to talk and I listen.The query I had was not solved and she couldn’t talk to her manager to investigate the problem further. Very disappointed",1,Date of experience: 02 October 2024,2 Oct 2024
Very helpful,"Very helpful, no fuss, great communicator. I am very happy with the way Amal handled the call.",5,Date of experience: 02 October 2024,2 Oct 2024
The least proactive accountants ever!,"I've been with Workwell since April. Despite promising how proactive they are, it is me having to do all of the chasing and all of the work. I really don't know what they are doing for my £120/month. I am an ecommerce business running via Shopify. Firstly, they did not set up the Shopify/Freeagent feed (which my other accountant did), but left this to me, so because it has been set up late, I now have something like 300 transactions that I have to manually split out because the feed only started a week ago and cannot be backdated.  Secondly, I have been asking them for literally months to set up loan accounts for Shopify loans that I've taken, and to date they still have not done this, so I now have nearly 200 transactions I cannot explain because there is nowhere to put them.  Thirdly, they just never seem to even look at my accounts whatsoever and drag their heels over answering any queries.",1,Date of experience: 01 October 2024,1 Oct 2024
Workwell is an umbrella company that…,"Workwell is an umbrella company that handles payroll and work-related administrative tasks. When the call was made, the phone was take within a short time. The clerk was very responsive and answered the questions politely and satisfactorily. I'm very happy with it so far.",5,Date of experience: 11 September 2024,11 Sept 2024
